,primary_fuel,state,county,postcode
0,Solar,New York,Rockland County,10994.0
1,Solar,North Carolina,Lee County,27332.0
2,Solar,North Carolina,Yadkin County,28642.0
3,Solar,New Jersey,Mercer County,8691.0
4,Solar,Massachusetts,Norfolk County,2038.0
5,Solar,California,Los Angeles County,90744.0
6,Solar,New Jersey,Middlesex County,8817.0
7,Gas,Illinois,Ogle County,61068.0
8,Solar,Vermont,Chittenden County,5403.0
9,Solar,New Jersey,Middlesex County,8837.0
10,Oil,Georgia,Fulton County,30303.0
11,Solar,Massachusetts,Hampden County,1010.0
12,Solar,Massachusetts,Hampden County,1010.0
13,Solar,California,Fresno County,93654.0
14,Solar,California,Merced County,95348.0
15,Solar,California,Sutter County,95953.0
16,Solar,North Carolina,Cleveland County,28152.0
17,Solar,North Carolina,Cleveland County,28152.0
18,Solar,New Jersey,Mercer County,8501.0
19,Solar,New York,Saratoga County,12008.0
20,Solar,California,Los Angeles County,90021.0
21,Solar,Massachusetts,Worcester County,1462.0
22,Solar,Massachusetts,Hampden County,1028.0
23,Solar,New Jersey,Morris County,7828.0
24,Solar,New Jersey,Mercer County,8691.0
25,Solar,Massachusetts,Bristol County,
26,Solar,New Jersey,Hudson County,7032.0
27,Hydro,Oregon,Jefferson County,97734.0
28,Solar,New Jersey,Hudson County,7094.0
29,Oil,Minnesota,Olmsted County,55901.0
30,Gas,Michigan,Allegan County,49423.0
31,Solar,North Carolina,Johnston County,27524.0
32,Solar,Pennsylvania,Montgomery County,19034.0
33,Gas,New York,,11105.0
34,Solar,North Carolina,Northampton County,27831.0
35,Gas,New York,New York County,10069.0
36,Solar,Massachusetts,Worcester County,1462.0
37,Oil,New York,New York County,10021.0
38,Solar,New Jersey,Hudson County,7094.0
39,Wind,California,CAL Fire Kern County,
40,Wind,California,CAL Fire Kern County,
41,Hydro,South Carolina,Cherokee County,29702.0
42,Coal,Indiana,Posey County,
43,Hydro,California,Madera County,93643.0
44,Gas,Connecticut,South Central COG,6492.0
45,Coal,Puerto Rico,,
46,Gas,Michigan,Baraga County,
47,Gas,Alabama,Jefferson County,35217.0
48,Solar,North Carolina,Randolph County,27230.0
49,Biomass,California,Kern County,
50,Biomass,California,Kern County,
51,Biomass,California,Kern County,
52,Biomass,California,Kern County,
53,Solar,New Jersey,Atlantic County,8330.0
54,Waste,New Jersey,Atlantic County,8232.0
55,Solar,New Jersey,Burlington County,8075.0
56,Gas,New Jersey,Atlantic County,8401.0
57,Solar,New Jersey,Atlantic County,8330.0
58,Solar,Florida,Orange County,32831.0
59,Solar,Florida,Orange County,32831.0
60,Gas,New Jersey,Atlantic County,8401.0
61,Storage,New Jersey,Atlantic County,8401.0
62,Cogeneration,Louisiana,Red River Parish,71019.0
63,Waste,Georgia,Twiggs County,
64,Storage,Ohio,Allen County,45817.0
65,Storage,Indiana,Whitley County,46723.0
66,Solar,Florida,Duval County,
67,Storage,West Virginia,Cabell County,
68,Gas,California,Los Angeles County,90808.0
69,Storage,Arizona,Maricopa County,85281.0
70,Coal,Hawaii,Honolulu County,96707.0
71,Gas,California,Orange County,92646.0
72,Solar,Puerto Rico,,704.0
73,Solar,Hawaii,Kauaʻi County,
74,Storage,Hawaii,Kauaʻi County,96765.0
75,Coal,Indiana,Pike County,
76,Gas,California,Los Angeles County,90277.0
77,Coal,Maryland,Allegany County,26767.0
78,Storage,Maryland,Allegany County,26767.0
79,Solar,Colorado,El Paso County,80920.0
80,Solar,North Carolina,Brunswick County,28451.0
81,Gas,California,Santa Clara County,95051.0
82,Gas,Delaware,New Castle County,19808.0
83,Solar,Massachusetts,Worcester County,1453.0
84,Gas,Georgia,Washington County,
85,Solar,Connecticut,Capitol Region COG,6074.0
86,Solar,North Carolina,Wayne County,27530.0
87,Gas,Alabama,Talladega County,35150.0
88,Solar,Ohio,Henry County,43545.0
89,Solar,Alabama,Calhoun County,36260.0
90,Gas,Massachusetts,Norfolk County,2019.0
91,Gas,Massachusetts,Worcester County,1504.0
92,Gas,District of Columbia,,20003.0
93,Solar,California,Riverside County,92545.0
94,Gas,Maryland,Harford County,21010.0
95,Solar,Maryland,Harford County,21005.0
96,Solar,Maryland,Harford County,21005.0
97,Gas,California,Santa Clara County,94087.0
98,Solar,California,Sonoma County,95449.0
99,Gas,California,Orange County,92805.0
100,Gas,California,Santa Clara County,95134.0
101,Solar,South Carolina,Spartanburg County,29303.0
102,Solar,North Carolina,Brunswick County,28451.0
103,Gas,California,Orange County,92614.0
104,Gas,New York,Suffolk County,11746.0
105,Gas,California,Solano County,94533.0
106,Gas,California,Los Angeles County,91405.0
107,Gas,California,Los Angeles County,91403.0
108,Solar,California,Los Angeles County,
109,Solar,California,Los Angeles County,93535.0
110,Solar,Arizona,Maricopa County,85281.0
111,Solar,South Carolina,Clarendon County,29102.0
112,Hydro,Texas,Guadalupe County,78123.0
113,Gas,South Dakota,Brown County,57401.0
114,Hydro,New Mexico,Rio Arriba County,87510.0
115,Gas,Louisiana,Acadia Parish,
116,Solar,North Carolina,Montgomery County,27371.0
117,Solar,Massachusetts,Middlesex County,7120.0
118,Solar,Minnesota,Le Sueur County,56050.0
119,Solar,Arizona,Pima County,85708.0
120,Solar,Massachusetts,Plymouth County,2579.0
121,Storage,Massachusetts,Bristol County,2745.0
122,Solar,Massachusetts,Bristol County,2747.0
123,Solar,Massachusetts,Bristol County,
124,Solar,Massachusetts,Bristol County,2717.0
125,Gas,Michigan,Kent County,49301.0
126,Hydro,Michigan,Kent County,49355.0
127,Wind,Iowa,Adair County,50002.0
128,Solar,New Jersey,Atlantic County,8234.0
129,Solar,Colorado,Adams County,
130,Solar,Colorado,Adams County,
131,Solar,Massachusetts,Worcester County,1331.0
132,Solar,Washington,Adams County,99341.0
133,Solar,Connecticut,Southeastern Connecticut COG,6254.0
134,Solar,Oregon,Jefferson County,
135,Wind,Iowa,Adams County,50841.0
136,Wind,Minnesota,Mower County,55909.0
137,Wind,Minnesota,Meeker County,56228.0
138,Solar,California,San Bernardino County,92394.0
139,Solar,California,San Bernardino County,92394.0
140,Solar,California,San Bernardino County,92301.0
141,Solar,California,Madera County,93610.0
142,Solar,New York,Clinton County,12934.0
143,Gas,Illinois,Stephenson County,61048.0
144,Gas,California,Santa Clara County,95113.0
145,Solar,California,Kern County,
146,Oil,Minnesota,Nobles County,56110.0
147,Waste,Michigan,Lenawee County,49268.0
148,Solar,Connecticut,Capitol Region COG,6082.0
149,Solar,New York,Ontario County,14424.0
150,Wind,Texas,Hansford County,
151,Gas,California,Monterey County,93450.0
152,Solar,California,Sacramento County,95630.0
153,Solar,California,Sacramento County,
154,Solar,California,Los Angeles County,91411.0
155,Gas,New Mexico,Doña Ana County,
156,Wind,Minnesota,Clay County,56547.0
157,Solar,Massachusetts,Hampden County,1001.0
158,Gas,California,Santa Clara County,95134.0
159,Biomass,Iowa,Scott County,52765.0
160,Waste,Louisiana,Calcasieu Parish,70602.0
161,Gas,Alaska,Kenai Peninsula,99635.0
162,Wind,Illinois,Bureau County,61314.0
163,Solar,Arizona,Yuma County,
164,Gas,Arizona,Maricopa County,85303.0
165,Gas,California,CAL Fire San Bernardino Unit,92324.0
166,Gas,Puerto Rico,,704.0
167,Oil,Puerto Rico,,704.0
168,Solar,North Carolina,Hertford County,
169,Geothermal,California,Sonoma County,
170,Wind,Nebraska,Brown County,
171,Gas,Texas,Jefferson County,77640.0
172,Solar,Colorado,,
173,Oil,Colorado,Pueblo County,81001.0
174,Solar,Oregon,Lake County,
175,Solar,North Carolina,Robeson County,28386.0
176,Solar,Massachusetts,Plymouth County,2375.0
177,Gas,Ohio,Summit County,44307.0
178,Biomass,Ohio,Summit County,44313.0
179,Waste,New York,Orange County,10924.0
180,Biomass,Alabama,Monroe County,
181,Biomass,Alabama,Monroe County,
182,Gas,California,Alameda County,94607.0
183,Hydro,California,Los Angeles County,
184,Solar,Texas,Pecos County,
185,Solar,California,San Bernardino County,92368.0
186,Solar,New Mexico,Otero County,
187,Gas,Colorado,Alamosa County,81101.0
188,Waste,Georgia,Dougherty County,31705.0
189,Gas,New York,Albany County,12208.0
190,Solar,Minnesota,Stearns County,56307.0
191,Oil,North Carolina,Stanly County,28002.0
192,Oil,North Carolina,Stanly County,28009.0
193,Solar,North Carolina,Lenoir County,28501.0
194,Hydro,Idaho,Bonner County,83822.0
195,Oil,New York,,10461.0
196,Solar,North Carolina,Duplin County,28508.0
197,Oil,Alabama,Marshall County,35976.0
198,Solar,New Mexico,Bernalillo County,87109.0
199,Hydro,Michigan,Alcona County,48761.0
200,Hydro,Wyoming,Natrona County,82620.0
201,Gas,Oregon,Clatsop County,97016.0
202,Hydro,Washington,Pierce County,
203,Solar,New Jersey,Burlington County,8011.0
204,Hydro,Wisconsin,Lincoln County,
205,Wind,Kansas,Rush County,67559.0
206,Oil,Minnesota,Douglas County,56308.0
207,Gas,New Mexico,Sandoval County,87001.0
208,Oil,Iowa,Kossuth County,50511.0
209,Gas,California,Fresno County,93657.0
210,Solar,California,CAL Fire Kern County,
211,Solar,California,CAL Fire Kern County,
212,Gas,Connecticut,Capitol Region COG,6096.0
213,Hydro,New York,Clinton County,12911.0
214,Hydro,Georgia,Bartow County,30137.0
215,Hydro,Michigan,Allegan County,49010.0
216,Gas,New York,Allegany County,14536.0
217,Gas,Pennsylvania,Allegheny County,15144.0
218,Hydro,Pennsylvania,Armstrong County,16259.0
219,Hydro,Pennsylvania,Armstrong County,16218.0
220,Hydro,Pennsylvania,Armstrong County,16212.0
221,Hydro,Pennsylvania,Armstrong County,15682.0
222,Wind,Pennsylvania,Cambria County,
223,Gas,Tennessee,Shelby County,38113.0
