,State,Year,Fuel Type,Capacity (MWh)
0,AK,2021,Coal,168.9
1,AK,2021,Wind,59.0
2,AK,2021,Solar,0.8
3,AK,2021,Petroleum,742.7
4,AK,2021,Natural Gas,1273.1
5,AK,2021,Hydroelectric,475.6
6,AK,2020,Coal,168.9
7,AK,2020,Wind,59.8
8,AK,2020,Petroleum,739.9
9,AK,2020,Natural Gas,1273.1
10,AK,2020,Hydroelectric,470.6
11,AK,2018,Natural Gas,1280.5
12,AK,2018,Petroleum,726.8
13,AK,2018,Coal,152.8
14,AK,2018,Wind,60.6
15,AK,2018,Hydroelectric,470.6
16,AK,2017,Natural Gas,1280.5
17,AK,2017,Petroleum,731.0
18,AK,2017,Wind,60.6
19,AK,2017,Coal,152.8
20,AK,2017,Hydroelectric,470.6
21,AK,2016,Wind,60.6
22,AK,2016,Petroleum,725.1
23,AK,2016,Natural Gas,1280.5
24,AK,2016,Hydroelectric,470.4
25,AK,2016,Coal,153.8
26,AK,2015,Coal,103.8
27,AK,2015,Wind,60.6
28,AK,2015,Petroleum,702.3
29,AK,2015,Natural Gas,1247.3
30,AK,2015,Hydroelectric,441.1
31,AK,2014,Wind,60.0
32,AK,2014,Coal,106.1
33,AK,2014,Petroleum,685.4
34,AK,2014,Hydroelectric,435.7
35,AK,2014,Natural Gas,1103.0
36,AK,2013,Natural Gas,1095.2
37,AK,2013,Petroleum,668.7
38,AK,2013,Wind,60.0
39,AK,2013,Coal,110.5
40,AK,2013,Hydroelectric,415.6
41,AK,2012,Natural Gas,853.6
42,AK,2012,Petroleum,673.5
43,AK,2012,Wind,32.7
44,AK,2012,Coal,110.5
45,AK,2012,Hydroelectric,415.6
46,AK,2011,Coal,110.5
47,AK,2011,Wind,7.4
48,AK,2011,Petroleum,668.9
49,AK,2011,Natural Gas,837.5
50,AK,2011,Hydroelectric,415.2
51,AK,2010,Coal,110.5
52,AK,2010,Wind,7.4
53,AK,2010,Natural Gas,837.7
54,AK,2010,Petroleum,662.7
55,AK,2010,Hydroelectric,414.4
56,AK,2009,Natural Gas,836.3
57,AK,2009,Petroleum,644.0
58,AK,2009,Wind,7.4
59,AK,2009,Coal,110.5
60,AK,2009,Hydroelectric,414.2
61,AK,2008,Natural Gas,837.8
62,AK,2008,Petroleum,642.7
63,AK,2008,Wind,2.9
64,AK,2008,Coal,112.0
65,AK,2008,Hydroelectric,399.9
66,AK,2007,Coal,105.0
67,AK,2007,Wind,3.0
68,AK,2007,Petroleum,622.0
69,AK,2007,Natural Gas,834.0
70,AK,2007,Hydroelectric,397.0
71,AK,2006,Coal,105.0
72,AK,2006,Wind,3.0
73,AK,2006,Petroleum,575.0
74,AK,2006,Natural Gas,805.0
75,AK,2006,Hydroelectric,397.0
76,AK,2005,Coal,105.0
77,AK,2005,Wind,10.0
78,AK,2005,Petroleum,574.0
79,AK,2005,Natural Gas,805.0
80,AK,2005,Hydroelectric,397.0
81,AK,2004,Coal,85.0
82,AK,2004,Hydroelectric,395.0
83,AK,2004,Natural Gas,805.0
84,AK,2004,Petroleum,565.0
85,AK,2004,Wind,1.0
86,AK,2003,Coal,85.0
87,AK,2003,Wind,1.0
88,AK,2003,Petroleum,578.0
89,AK,2003,Natural Gas,835.0
90,AK,2003,Hydroelectric,396.0
91,AK,2002,Coal,85.0
92,AK,2002,Petroleum,577.0
93,AK,2002,Hydroelectric,396.0
