,State,Year,CO2 Emissions (Million Metric Tons),Sector Name
0,AK,2020,2.117089,Commercial carbon dioxide emissions
1,AK,2020,35.967527,Total carbon dioxide emissions from all sectors
2,AK,2020,2.735818,Electric Power carbon dioxide emissions
3,AK,2020,1.651749,Residential carbon dioxide emissions
4,AK,2020,17.589291,Industrial carbon dioxide emissions
5,AK,2020,11.873581,Transportation carbon dioxide emissions
6,AK,2019,2.014915,Commercial carbon dioxide emissions
7,AK,2019,34.25944,Total carbon dioxide emissions from all sectors
8,AK,2019,11.854351,Transportation carbon dioxide emissions
9,AK,2019,1.445756,Residential carbon dioxide emissions
10,AK,2019,16.224065,Industrial carbon dioxide emissions
11,AK,2019,2.720353,Electric Power carbon dioxide emissions
12,AK,2018,16.501151,Industrial carbon dioxide emissions
13,AK,2018,1.461157,Residential carbon dioxide emissions
14,AK,2018,11.813831,Transportation carbon dioxide emissions
15,AK,2018,34.514589,Total carbon dioxide emissions from all sectors
16,AK,2018,2.043495,Commercial carbon dioxide emissions
17,AK,2018,2.694954,Electric Power carbon dioxide emissions
18,AK,2017,2.062429,Commercial carbon dioxide emissions
19,AK,2017,33.72913,Total carbon dioxide emissions from all sectors
20,AK,2017,11.233614,Transportation carbon dioxide emissions
21,AK,2017,1.66098,Residential carbon dioxide emissions
22,AK,2017,15.98148,Industrial carbon dioxide emissions
23,AK,2017,2.790627,Electric Power carbon dioxide emissions
24,AK,2016,2.04654,Commercial carbon dioxide emissions
25,AK,2016,33.405611,Total carbon dioxide emissions from all sectors
26,AK,2016,11.058688,Transportation carbon dioxide emissions
27,AK,2016,1.499933,Residential carbon dioxide emissions
28,AK,2016,16.040968,Industrial carbon dioxide emissions
29,AK,2016,2.759481,Electric Power carbon dioxide emissions
30,AK,2015,16.162343,Industrial carbon dioxide emissions
31,AK,2015,1.584928,Residential carbon dioxide emissions
32,AK,2015,11.741274,Transportation carbon dioxide emissions
33,AK,2015,35.027804,Total carbon dioxide emissions from all sectors
34,AK,2015,2.584399,Commercial carbon dioxide emissions
35,AK,2015,2.954859,Electric Power carbon dioxide emissions
36,AK,2014,33.919405,Total carbon dioxide emissions from all sectors
