,primary_fuel,state_x,county,state_y,median income
0,Hydro,Idaho,Ada , Idaho,79279
1,Hydro,Idaho,Ada , Idaho,79279
2,Waste,Idaho,Ada , Idaho,79279
3,Solar,Idaho,Ada , Idaho,79279
4,Hydro,Idaho,Ada , Idaho,79279
5,Hydro,Idaho,Ada , Idaho,79279
6,Solar,Idaho,Ada , Idaho,79279
7,Hydro,Idaho,Ada , Idaho,79279
8,Solar,Colorado,Adams , Colorado,81258
9,Solar,Colorado,Adams , Pennsylvania,72985
10,Solar,Colorado,Adams , Colorado,81258
11,Solar,Colorado,Adams , Pennsylvania,72985
12,Solar,Colorado,Adams , Colorado,81258
13,Solar,Colorado,Adams , Pennsylvania,72985
14,Solar,Colorado,Adams , Colorado,81258
15,Solar,Colorado,Adams , Pennsylvania,72985
16,Gas,Colorado,Adams , Colorado,81258
17,Gas,Colorado,Adams , Pennsylvania,72985
18,Solar,Colorado,Adams , Colorado,81258
19,Solar,Colorado,Adams , Pennsylvania,72985
20,Solar,Colorado,Adams , Colorado,81258
21,Solar,Colorado,Adams , Pennsylvania,72985
22,Gas,Colorado,Adams , Colorado,81258
23,Gas,Colorado,Adams , Pennsylvania,72985
24,Solar,Colorado,Adams , Colorado,81258
25,Solar,Colorado,Adams , Pennsylvania,72985
26,Gas,Colorado,Adams , Colorado,81258
27,Gas,Colorado,Adams , Pennsylvania,72985
28,Solar,Colorado,Adams , Colorado,81258
29,Solar,Colorado,Adams , Pennsylvania,72985
30,Biomass,Colorado,Adams , Colorado,81258
31,Biomass,Colorado,Adams , Pennsylvania,72985
32,Solar,Colorado,Adams , Colorado,81258
33,Solar,Colorado,Adams , Pennsylvania,72985
34,Solar,Colorado,Adams , Colorado,81258
35,Solar,Colorado,Adams , Pennsylvania,72985
36,Solar,Colorado,Adams , Colorado,81258
37,Solar,Colorado,Adams , Pennsylvania,72985
38,Solar,Colorado,Adams , Colorado,81258
39,Solar,Colorado,Adams , Pennsylvania,72985
40,Solar,Colorado,Adams , Colorado,81258
41,Solar,Colorado,Adams , Pennsylvania,72985
42,Solar,Colorado,Adams , Colorado,81258
43,Solar,Colorado,Adams , Pennsylvania,72985
44,Hydro,Idaho,Adams , Colorado,81258
45,Hydro,Idaho,Adams , Pennsylvania,72985
46,Hydro,Idaho,Adams , Colorado,81258
47,Hydro,Idaho,Adams , Pennsylvania,72985
48,Waste,Idaho,Adams , Colorado,81258
49,Waste,Idaho,Adams , Pennsylvania,72985
50,Gas,Indiana,Adams , Colorado,81258
51,Gas,Indiana,Adams , Pennsylvania,72985
52,Wind,Iowa,Adams , Colorado,81258
53,Wind,Iowa,Adams , Pennsylvania,72985
54,Oil,Iowa,Adams , Colorado,81258
55,Oil,Iowa,Adams , Pennsylvania,72985
56,Gas,Iowa,Adams , Colorado,81258
57,Gas,Iowa,Adams , Pennsylvania,72985
58,Wind,Nebraska,Adams , Colorado,81258
59,Wind,Nebraska,Adams , Pennsylvania,72985
60,Gas,Nebraska,Adams , Colorado,81258
61,Gas,Nebraska,Adams , Pennsylvania,72985
62,Solar,Nebraska,Adams , Colorado,81258
63,Solar,Nebraska,Adams , Pennsylvania,72985
64,Gas,Nebraska,Adams , Colorado,81258
65,Gas,Nebraska,Adams , Pennsylvania,72985
66,Coal,Nebraska,Adams , Colorado,81258
67,Coal,Nebraska,Adams , Pennsylvania,72985
68,Wind,North Dakota,Adams , Colorado,81258
69,Wind,North Dakota,Adams , Pennsylvania,72985
70,Biomass,Pennsylvania,Adams , Colorado,81258
71,Biomass,Pennsylvania,Adams , Pennsylvania,72985
72,Oil,Pennsylvania,Adams , Colorado,81258
73,Oil,Pennsylvania,Adams , Pennsylvania,72985
74,Oil,Pennsylvania,Adams , Colorado,81258
75,Oil,Pennsylvania,Adams , Pennsylvania,72985
76,Gas,Pennsylvania,Adams , Colorado,81258
77,Gas,Pennsylvania,Adams , Pennsylvania,72985
78,Solar,Pennsylvania,Adams , Colorado,81258
79,Solar,Pennsylvania,Adams , Pennsylvania,72985
80,Oil,Pennsylvania,Adams , Colorado,81258
81,Oil,Pennsylvania,Adams , Pennsylvania,72985
82,Solar,Washington,Adams , Colorado,81258
83,Solar,Washington,Adams , Pennsylvania,72985
84,Hydro,Wisconsin,Adams , Colorado,81258
85,Hydro,Wisconsin,Adams , Pennsylvania,72985
86,Waste,South Carolina,Aiken , South Carolina,55138
87,Solar,South Carolina,Aiken , South Carolina,55138
88,Gas,South Carolina,Aiken , South Carolina,55138
89,Solar,Florida,Alachua , Florida,56445
90,Coal,Florida,Alachua , Florida,56445
91,Waste,Florida,Alachua , Florida,56445
92,Gas,Florida,Alachua , Florida,56445
93,Solar,Florida,Alachua , Florida,56445
94,Gas,Florida,Alachua , Florida,56445
95,Gas,Florida,Alachua , Florida,56445
96,Solar,North Carolina,Alamance , North Carolina,58400
97,Solar,North Carolina,Alamance , North Carolina,58400
98,Solar,North Carolina,Alamance , North Carolina,58400
99,Hydro,North Carolina,Alamance , North Carolina,58400
100,Solar,North Carolina,Alamance , North Carolina,58400
