,County,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other
0,"Rockland County, New York",2,4,2,0,0,0,0,0,0,0,0,0,0
1,"Lee County, North Carolina",8,0,0,0,0,0,0,0,0,0,0,0,0
2,"Yadkin County, North Carolina",4,0,0,0,0,0,0,0,0,0,0,0,0
3,"Mercer County, New Jersey",13,5,0,0,0,0,0,1,0,0,0,0,0
4,"Norfolk County, Massachusetts",14,7,1,0,0,0,0,1,0,0,0,0,0
5,"Los Angeles County, California",113,49,2,19,1,0,3,5,4,0,0,0,0
6,"Middlesex County, New Jersey",41,7,1,0,0,0,0,0,0,0,0,0,0
7,"Ogle County, Illinois",0,2,1,0,0,0,0,0,0,0,0,1,0
8,"Chittenden County, Vermont",11,0,3,5,1,0,0,1,0,0,0,0,0
9,"Fulton County, Georgia",1,0,10,1,0,0,0,0,0,0,0,0,0
10,"Hampden County, Massachusetts",43,4,2,14,1,0,0,0,0,0,0,0,0
11,"Fresno County, California",34,13,1,15,0,0,0,0,0,0,0,0,0
12,"Merced County, California",9,0,0,4,1,0,0,0,0,0,0,0,0
13,"Sutter County, California",1,5,0,0,0,0,0,0,0,0,0,0,0
14,"Cleveland County, North Carolina",21,2,2,0,0,1,0,0,0,0,0,0,0
15,"Saratoga County, New York",8,1,0,15,0,0,0,1,0,0,0,0,0
16,"Worcester County, Massachusetts",96,8,2,2,3,0,0,2,0,0,0,0,0
17,"Morris County, New Jersey",9,0,0,0,0,0,0,0,0,0,0,0,0
18,"Bristol County, Massachusetts",31,3,1,0,2,0,0,1,0,0,0,0,0
19,"Hudson County, New Jersey",14,5,0,0,1,0,0,0,0,0,0,0,0
20,"Jefferson County, Oregon",2,0,0,5,0,0,0,0,0,0,0,0,0
21,"Olmsted County, Minnesota",2,4,2,0,0,0,1,0,0,0,0,0,0
22,"Allegan County, Michigan",0,3,0,1,0,0,0,0,0,0,0,0,0
23,"Johnston County, North Carolina",24,0,0,0,0,0,0,0,0,0,0,0,0
24,"Montgomery County, Pennsylvania",3,3,1,0,0,0,0,0,0,0,0,1,0
25,"Northampton County, North Carolina",15,0,0,0,0,0,1,0,0,0,0,0,0
26,"New York County, New York",0,6,11,0,0,0,0,0,0,0,0,0,0
27,"CAL Fire Kern County, California",15,0,0,0,38,0,0,1,0,0,0,0,0
28,"Cherokee County, South Carolina",0,3,0,3,0,0,0,0,0,0,0,0,0
29,"Posey County, Indiana",0,1,0,0,0,1,0,0,0,0,0,0,0
30,"Madera County, California",5,1,0,7,0,0,0,0,0,0,0,0,0
31,"South Central COG, Connecticut",3,6,3,0,0,0,0,0,0,0,0,0,0
32,"Baraga County, Michigan",0,1,0,1,0,0,0,0,0,0,0,0,0
33,"Jefferson County, Alabama",0,2,0,0,0,1,0,0,0,0,0,0,0
34,"Randolph County, North Carolina",9,0,0,0,0,0,0,0,0,0,0,0,0
35,"Kern County, California",57,40,1,6,11,0,4,1,0,0,0,0,0
36,"Atlantic County, New Jersey",9,2,0,0,1,0,0,1,0,0,0,0,0
37,"Burlington County, New Jersey",29,2,0,0,0,0,0,0,0,0,0,0,0
38,"Orange County, Florida",6,3,0,0,0,1,1,0,0,0,0,0,0
39,"Red River Parish, Louisiana",0,0,0,0,0,0,0,0,1,0,0,0,0
40,"Twiggs County, Georgia",1,0,0,0,0,0,0,0,0,0,0,0,0
41,"Allen County, Ohio",0,0,0,0,0,0,0,1,0,0,0,0,0
42,"Whitley County, Indiana",0,0,0,0,0,0,0,1,0,0,0,0,0
43,"Duval County, Florida",5,6,0,0,0,1,0,1,0,0,0,0,0
44,"Cabell County, West Virginia",0,0,0,0,0,0,0,1,0,0,0,0,0
45,"Maricopa County, Arizona",27,15,0,7,0,0,0,1,0,0,0,1,0
46,"Honolulu County, Hawaii",12,0,6,0,2,1,0,1,0,0,0,0,2
47,"Orange County, California",4,13,0,3,0,0,2,11,0,0,0,0,0
48,"KauaÊ»i County, Hawaii",6,0,1,3,0,0,0,1,0,0,0,0,1
49,"Pike County, Indiana",0,0,0,0,0,1,0,0,0,0,0,0,0
50,"Allegany County, Maryland",0,0,0,0,0,1,0,1,0,0,0,0,0
51,"El Paso County, Colorado",5,3,0,3,1,2,0,1,0,0,0,0,0
52,"Brunswick County, North Carolina",2,1,0,0,0,0,0,0,0,0,0,1,0
53,"Santa Clara County, California",7,37,6,0,0,0,1,1,0,0,0,0,0
54,"New Castle County, Delaware",2,6,3,0,0,0,0,0,0,0,0,0,0
55,"Washington County, Georgia",1,2,0,0,0,0,0,0,0,0,0,0,0
56,"Capitol Region COG, Connecticut",10,10,0,1,0,0,0,0,0,0,0,0,0
57,"Wayne County, North Carolina",20,2,0,0,0,0,0,0,0,0,0,0,0
58,"Talladega County, Alabama",0,1,0,0,0,0,1,0,0,0,0,0,0
59,"Henry County, Ohio",2,1,1,0,0,0,1,0,0,0,0,0,0
60,"Calhoun County, Alabama",1,1,0,1,0,0,0,0,0,0,0,0,0
61,"Riverside County, California",35,9,0,6,26,0,1,0,0,0,0,0,0
62,"Harford County, Maryland",14,2,0,1,0,0,0,0,0,0,0,0,0
63,"Sonoma County, California",6,1,0,1,0,0,1,0,0,3,0,0,0
64,"Spartanburg County, South Carolina",3,0,2,2,0,0,0,0,0,0,0,0,0
65,"Suffolk County, New York",21,11,12,0,0,0,0,2,0,0,0,0,0
66,"Solano County, California",11,8,0,0,12,0,0,1,0,0,0,0,0
67,"Clarendon County, South Carolina",4,0,0,0,0,0,0,0,0,0,0,0,0
68,"Guadalupe County, Texas",0,2,0,4,0,0,0,0,0,0,0,0,0
69,"Brown County, South Dakota",0,2,0,0,0,0,0,0,0,0,0,0,0
70,"Rio Arriba County, New Mexico",2,0,1,2,0,0,0,0,0,0,0,0,0
71,"Acadia Parish, Louisiana",0,2,1,0,0,0,0,0,0,0,0,0,0
72,"Montgomery County, North Carolina",7,0,0,3,0,0,0,0,0,0,0,0,0
73,"Middlesex County, Massachusetts",33,5,3,2,0,0,0,2,0,0,0,0,0
74,"Le Sueur County, Minnesota",5,1,0,0,0,0,1,0,0,0,0,0,0
75,"Pima County, Arizona",20,5,0,0,0,0,0,2,0,0,0,0,0
