GEO_ID,COUNTY_NAME,STATE_NAME,S1901_C01_001E,S1901_C01_012E
Geography,Geographic Area Name,,Households!!Estimate!!Total,Households!!Estimate!!Median income (dollars)
0500000US01003,Baldwin County, Alabama,79120,55342
0500000US01015,Calhoun County, Alabama,44507,46763
0500000US01043,Cullman County, Alabama,30740,45044
0500000US01049,DeKalb County, Alabama,25848,39373
0500000US01051,Elmore County, Alabama,29176,60558
0500000US01055,Etowah County, Alabama,37091,41576
0500000US01069,Houston County, Alabama,39106,44529
0500000US01073,Jefferson County, Alabama,259324,50709
0500000US01077,Lauderdale County, Alabama,38215,45352
0500000US01081,Lee County, Alabama,58555,52943
0500000US01083,Limestone County, Alabama,32816,55817
0500000US01089,Madison County, Alabama,147892,62312
0500000US01095,Marshall County, Alabama,34083,41476
0500000US01097,Mobile County, Alabama,154683,46023
0500000US01101,Montgomery County, Alabama,88554,45724
0500000US01103,Morgan County, Alabama,45360,48563
0500000US01115,St. Clair County, Alabama,33241,50934
0500000US01117,Shelby County, Alabama,78666,73031
0500000US01121,Talladega County, Alabama,31759,39731
0500000US01125,Tuscaloosa County, Alabama,72243,52313
0500000US01127,Walker County, Alabama,25231,41973
0500000US02020,Anchorage Municipality, Alaska,107373,79166
0500000US02090,Fairbanks North Star Borough, Alaska,35046,76747
0500000US02170,Matanuska-Susitna Borough, Alaska,29443,69121
0500000US04001,Apache County, Arizona,20550,31671
0500000US04003,Cochise County, Arizona,48939,51816
0500000US04005,Coconino County, Arizona,47977,54893
0500000US04013,Maricopa County, Arizona,1536579,62223
0500000US04015,Mohave County, Arizona,87565,42311
0500000US04017,Navajo County, Arizona,36094,41295
0500000US04019,Pima County, Arizona,403574,51425
0500000US04021,Pinal County, Arizona,139097,52788
0500000US04025,Yavapai County, Arizona,98369,50041
0500000US04027,Yuma County, Arizona,74620,46798
0500000US05007,Benton County, Arkansas,97134,63746
0500000US05031,Craighead County, Arkansas,42115,50422
0500000US05045,Faulkner County, Arkansas,44870,47964
0500000US05051,Garland County, Arkansas,38594,46101
0500000US05069,Jefferson County, Arkansas,26537,37678
0500000US05085,Lonoke County, Arkansas,27121,51835
0500000US05119,Pulaski County, Arkansas,156546,52450
0500000US05125,Saline County, Arkansas,44420,59633
0500000US05131,Sebastian County, Arkansas,50734,41917
0500000US05143,Washington County, Arkansas,85290,50169
0500000US05145,White County, Arkansas,29067,42443
0500000US06001,Alameda County, California,573589,96296
0500000US06007,Butte County, California,88797,49061
0500000US06013,Contra Costa County, California,392046,95339
0500000US06017,El Dorado County, California,69368,79414
0500000US06019,Fresno County, California,305819,51800
0500000US06023,Humboldt County, California,53446,46494
0500000US06025,Imperial County, California,44478,47211
0500000US06029,Kern County, California,269147,49854
0500000US06031,Kings County, California,43029,57555
0500000US06033,Lake County, California,27399,48930
0500000US06037,Los Angeles County, California,3311231,65006
0500000US06039,Madera County, California,46282,51283
0500000US06041,Marin County, California,104219,113908
0500000US06045,Mendocino County, California,32599,53024
0500000US06047,Merced County, California,80969,47735
0500000US06053,Monterey County, California,125518,71274
0500000US06055,Napa County, California,47848,86562
0500000US06057,Nevada County, California,41638,65385
0500000US06059,Orange County, California,1037312,86217
0500000US06061,Placer County, California,143659,80728
0500000US06065,Riverside County, California,718733,63944
0500000US06067,Sacramento County, California,543250,63045
0500000US06071,San Bernardino County, California,626223,60420
0500000US06073,San Diego County, California,1126419,76207
0500000US06075,San Francisco County, California,360323,110816
0500000US06077,San Joaquin County, California,226624,61164
0500000US06079,San Luis Obispo County, California,104544,71880
0500000US06081,San Mateo County, California,264185,116653
0500000US06083,Santa Barbara County, California,147466,71106
0500000US06085,Santa Clara County, California,633811,119035
0500000US06087,Santa Cruz County, California,95940,79705
0500000US06089,Shasta County, California,71968,52439
0500000US06095,Solano County, California,151127,77133
0500000US06097,Sonoma County, California,188829,80409
0500000US06099,Stanislaus County, California,173573,59514
0500000US06101,Sutter County, California,31945,55062
0500000US06107,Tulare County, California,137576,46266
0500000US06111,Ventura County, California,272085,82857
0500000US06113,Yolo County, California,73495,65729
0500000US06115,Yuba County, California,26228,63120
0500000US08001,Adams County, Colorado,165730,66517
0500000US08005,Arapahoe County, Colorado,240774,75357
0500000US08013,Boulder County, Colorado,128497,80834
0500000US08014,Broomfield County, Colorado,27665,90939
0500000US08031,Denver County, Colorado,296938,65224
0500000US08035,Douglas County, Colorado,119151,111482
0500000US08041,El Paso County, Colorado,258158,65370
0500000US08059,Jefferson County, Colorado,231651,80616
0500000US08069,Larimer County, Colorado,134709,69102
0500000US08077,Mesa County, Colorado,61763,52742
0500000US08101,Pueblo County, Colorado,65098,43148
0500000US08123,Weld County, Colorado,104611,68884
0500000US09001,Fairfield County, Connecticut,336433,91198
0500000US09003,Hartford County, Connecticut,347565,70429
0500000US09005,Litchfield County, Connecticut,73709,78436
0500000US09007,Middlesex County, Connecticut,67227,79646
0500000US09009,New Haven County, Connecticut,324837,66863
0500000US09011,New London County, Connecticut,107229,71987
0500000US09013,Tolland County, Connecticut,55939,72117
0500000US09015,Windham County, Connecticut,43823,63573
0500000US10001,Kent County, Delaware,63807,57608
0500000US10003,New Castle County, Delaware,206101,66647
0500000US10005,Sussex County, Delaware,88029,61985
0500000US11001,District of Columbia, District of Columbia,281475,82372
0500000US12001,Alachua County, Florida,97714,44676
0500000US12005,Bay County, Florida,70600,52415
0500000US12009,Brevard County, Florida,228385,52540
0500000US12011,Broward County, Florida,685559,56842
0500000US12015,Charlotte County, Florida,76056,52070
0500000US12017,Citrus County, Florida,61290,43548
0500000US12019,Clay County, Florida,73136,65247
0500000US12021,Collier County, Florida,144354,66048
0500000US12023,Columbia County, Florida,24335,40811
0500000US12031,Duval County, Florida,359607,52062
0500000US12033,Escambia County, Florida,122406,48631
0500000US12035,Flagler County, Florida,42370,49652
0500000US12053,Hernando County, Florida,74110,44892
0500000US12055,Highlands County, Florida,42948,35543
0500000US12057,Hillsborough County, Florida,521609,54731
0500000US12061,Indian River County, Florida,58044,49177
0500000US12069,Lake County, Florida,136255,51383
0500000US12071,Lee County, Florida,266266,53928
0500000US12073,Leon County, Florida,115193,51642
0500000US12081,Manatee County, Florida,144329,55268
0500000US12083,Marion County, Florida,140620,43910
0500000US12085,Martin County, Florida,62496,54681
0500000US12086,Miami-Dade County, Florida,872495,49930
0500000US12087,Monroe County, Florida,31285,65747
0500000US12089,Nassau County, Florida,31837,71489
0500000US12091,Okaloosa County, Florida,79011,61866
0500000US12095,Orange County, Florida,460602,54107
0500000US12097,Osceola County, Florida,102385,49762
0500000US12099,Palm Beach County, Florida,547824,60057
0500000US12101,Pasco County, Florida,207993,51347
0500000US12103,Pinellas County, Florida,405807,51512
0500000US12105,Polk County, Florida,233058,48475
0500000US12107,Putnam County, Florida,29444,33790
0500000US12109,St. Johns County, Florida,87096,73836
0500000US12111,St. Lucie County, Florida,114043,50062
0500000US12113,Santa Rosa County, Florida,62216,66059
0500000US12115,Sarasota County, Florida,184614,58400
0500000US12117,Seminole County, Florida,176017,64049
0500000US12119,Sumter County, Florida,55097,54057
0500000US12127,Volusia County, Florida,217632,46901
0500000US12131,Walton County, Florida,29463,51620
0500000US13013,Barrow County, Georgia,26893,59994
0500000US13015,Bartow County, Georgia,38765,54218
0500000US13021,Bibb County, Georgia,56272,37444
0500000US13031,Bulloch County, Georgia,27802,42138
0500000US13045,Carroll County, Georgia,42897,50100
0500000US13047,Catoosa County, Georgia,25153,53231
0500000US13051,Chatham County, Georgia,107754,55352
0500000US13057,Cherokee County, Georgia,89510,76368
0500000US13059,Clarke County, Georgia,48257,39825
0500000US13063,Clayton County, Georgia,94199,45172
0500000US13067,Cobb County, Georgia,277609,75654
0500000US13073,Columbia County, Georgia,43990,74164
0500000US13077,Coweta County, Georgia,52796,72787
0500000US13089,DeKalb County, Georgia,278249,61827
0500000US13095,Dougherty County, Georgia,34179,38712
0500000US13097,Douglas County, Georgia,49962,61094
0500000US13113,Fayette County, Georgia,40484,84742
0500000US13115,Floyd County, Georgia,36927,45854
0500000US13117,Forsyth County, Georgia,78299,102084
0500000US13121,Fulton County, Georgia,410408,65037
0500000US13127,Glynn County, Georgia,34380,50998
0500000US13135,Gwinnett County, Georgia,292679,68914
0500000US13139,Hall County, Georgia,62164,61977
0500000US13151,Henry County, Georgia,77170,67018
0500000US13153,Houston County, Georgia,56860,58525
0500000US13157,Jackson County, Georgia,23785,66557
0500000US13185,Lowndes County, Georgia,41585,41156
0500000US13215,Muscogee County, Georgia,70306,42107
0500000US13217,Newton County, Georgia,37519,57337
0500000US13223,Paulding County, Georgia,52707,66482
0500000US13245,Richmond County, Georgia,71411,37324
0500000US13247,Rockdale County, Georgia,29849,62429
0500000US13255,Spalding County, Georgia,25151,47027
0500000US13285,Troup County, Georgia,24716,38977
0500000US13295,Walker County, Georgia,26270,45410
0500000US13297,Walton County, Georgia,31114,54867
