state,Population
AK,733391
AL,5024279
AR,3011524
AZ,7151502
CA,39538233
CO,5773714
CT,3605944
DC,689545
DE,989948
FL,21538187
GA,10439388
HI,1455271
IA,3190369
ID,1839106
IL,12812508
IN,6785528
KS,2937880
KY,4505836
LA,4657757
MA,7029917
MD,6177224
ME,1362359
MI,10077331
MN,5706494
MO,6154913
MS,2961279
MT,1084225
NC,10439388
ND,779094
NE,1961504
NH,1377529
NJ,9288994
NM,2117522
NV,3104614
NY,20201249
OH,11799448
OK,3959353
OR,4237256
PA,13002700
RI,1097379
SC,5118425
SD,886667
TN,6910840
TX,29145505
UT,3271616
VA,643077
VT,643077
WA,7705281
WI,5893718
WV,1793716
WY,576851
