Geography,county,state,median income
0500000US01003,Baldwin , Alabama,63866
0500000US01015,Calhoun , Alabama,46524
0500000US01043,Cullman , Alabama,55517
0500000US01049,DeKalb , Alabama,41800
0500000US01051,Elmore , Alabama,59032
0500000US01055,Etowah , Alabama,45298
0500000US01069,Houston , Alabama,46931
0500000US01073,Jefferson , Alabama,55006
0500000US01077,Lauderdale , Alabama,50218
0500000US01081,Lee , Alabama,52424
0500000US01083,Limestone , Alabama,66796
0500000US01089,Madison , Alabama,78525
0500000US01095,Marshall , Alabama,50191
0500000US01097,Mobile , Alabama,49721
0500000US01101,Montgomery , Alabama,50385
0500000US01103,Morgan , Alabama,55286
0500000US01117,Shelby , Alabama,84260
0500000US01115,St. Clair , Alabama,60433
0500000US01121,Talladega , Alabama,45063
0500000US01125,Tuscaloosa , Alabama,56559
0500000US02020,Anchorage Municipality, Alaska,86654
0500000US02090,Fairbanks North Star , Alaska,72149
0500000US02170,Matanuska-Susitna , Alaska,78856
0500000US04001,Apache , Arizona,40628
0500000US04003,Cochise , Arizona,56600
0500000US04005,Coconino , Arizona,64533
0500000US04013,Maricopa , Arizona,76247
0500000US04015,Mohave , Arizona,46616
0500000US04017,Navajo , Arizona,49449
0500000US04019,Pima , Arizona,60667
0500000US04021,Pinal , Arizona,70993
0500000US04025,Yavapai , Arizona,57230
0500000US04027,Yuma , Arizona,57304
0500000US05007,Benton , Arkansas,78691
0500000US05031,Craighead , Arkansas,50186
0500000US05045,Faulkner , Arkansas,55635
0500000US05051,Garland , Arkansas,47694
0500000US05069,Jefferson , Arkansas,48499
0500000US05085,Lonoke , Arkansas,63641
0500000US05119,Pulaski , Arkansas,52479
0500000US05125,Saline , Arkansas,67345
0500000US05131,Sebastian , Arkansas,47874
0500000US05143,Washington , Arkansas,65125
0500000US05145,White , Arkansas,51402
0500000US06001,Alameda , California,109729
0500000US06007,Butte , California,64738
0500000US06013,Contra Costa , California,111080
0500000US06017,El Dorado , California,87491
0500000US06019,Fresno , California,63656
0500000US06023,Humboldt , California,54752
0500000US06025,Imperial , California,51809
0500000US06029,Kern , California,58217
0500000US06031,Kings , California,62155
0500000US06033,Lake , California,61221
0500000US06037,Los Angeles , California,77456
0500000US06039,Madera , California,63454
0500000US06041,Marin , California,118209
0500000US06045,Mendocino , California,59444
0500000US06047,Merced , California,53992
0500000US06053,Monterey , California,82163
0500000US06055,Napa , California,97213
0500000US06057,Nevada , California,79519
0500000US06059,Orange , California,100559
0500000US06061,Placer , California,103659
0500000US06065,Riverside , California,79024
0500000US06067,Sacramento , California,80063
0500000US06069,San Benito , California,101923
0500000US06071,San Bernardino , California,74846
0500000US06073,San Diego , California,91003
0500000US06075,San Francisco , California,121826
0500000US06077,San Joaquin , California,80681
0500000US06079,San Luis Obispo , California,80615
0500000US06081,San Mateo , California,131796
0500000US06083,Santa Barbara , California,84846
0500000US06085,Santa Clara , California,141562
0500000US06087,Santa Cruz , California,93933
0500000US06089,Shasta , California,61125
0500000US06095,Solano , California,87770
0500000US06097,Sonoma , California,94295
0500000US06099,Stanislaus , California,73982
0500000US06101,Sutter , California,64251
0500000US06103,Tehama , California,48810
0500000US06107,Tulare , California,58209
0500000US06111,Ventura , California,96454
0500000US06113,Yolo , California,78146
0500000US06115,Yuba , California,63303
0500000US08001,Adams , Colorado,81258
0500000US08005,Arapahoe , Colorado,84386
0500000US08013,Boulder , Colorado,90168
0500000US08014,Broomfield , Colorado,107638
0500000US08031,Denver , Colorado,81630
0500000US08035,Douglas , Colorado,129299
0500000US08041,El Paso , Colorado,79427
0500000US08059,Jefferson , Colorado,94549
0500000US08069,Larimer , Colorado,78109
0500000US08077,Mesa , Colorado,64055
0500000US08101,Pueblo , Colorado,56689
0500000US08123,Weld , Colorado,85290
0500000US09001,Fairfield , Connecticut,100810
0500000US09003,Hartford , Connecticut,80069
0500000US09005,Litchfield , Connecticut,84978
0500000US09007,Middlesex , Connecticut,94887
0500000US09009,New Haven , Connecticut,75295
0500000US09011,New London , Connecticut,78828
0500000US09013,Tolland , Connecticut,82778
0500000US09015,Windham , Connecticut,72068
0500000US10001,Kent , Delaware,64308
0500000US10003,New Castle , Delaware,73854
0500000US10005,Sussex , Delaware,70556
0500000US11001,District of Columbia, District of Columbia,90088
0500000US12001,Alachua , Florida,56445
0500000US12005,Bay , Florida,60557
0500000US12009,Brevard , Florida,65333
0500000US12011,Broward , Florida,65747
0500000US12015,Charlotte , Florida,59285
0500000US12017,Citrus , Florida,47197
0500000US12019,Clay , Florida,76679
0500000US12021,Collier , Florida,74215
0500000US12023,Columbia , Florida,54077
