zipcode,total_households,total_households_margin_of_error,median_income,median_income_margin_of_error
90001,13807,276,35660,1392
90002,12694,271,34000,2747
90003,16581,368,34397,2224
90004,22140,370,46581,1656
90005,16399,382,32461,1606
90006,19486,313,33790,1475
90007,11695,261,23070,1650
90008,14937,429,36641,3045
90010,1986,229,47115,12569
90011,23884,260,33824,1486
90012,11971,365,38786,3500
90013,7047,364,22808,3062
90014,5000,351,37619,11143
90015,8510,313,32979,4279
90016,16954,334,43443,2105
90017,10433,258,28638,2932
90018,16395,283,37341,1893
90019,24426,441,50671,2159
90020,16364,399,42407,1988
90021,1966,221,12864,2580
90022,17640,312,41276,1769
90023,11583,247,40225,2010
90024,16812,474,59418,5266
90025,21959,395,78713,3947
90026,25510,385,54342,3636
90027,21907,355,58344,4139
90028,16301,435,40068,2654
90029,14188,252,37379,2908
90031,11720,236,41126,2897
90032,13429,173,47370,2610
90033,13165,285,31683,1223
90034,25725,428,65572,2737
90035,12704,342,76677,4834
90036,18230,380,74279,3669
90037,17007,312,31045,1478
90038,11190,309,36996,3671
90039,11523,279,81394,4966
90040,3565,180,43585,5060
90041,9547,227,73250,8469
90042,20527,311,55596,2252
90043,16789,372,41812,2771
90044,27804,531,32278,1238
90045,15576,362,90399,5986
90046,29180,529,65990,2548
90047,16952,469,42551,2746
90048,12184,346,85396,6910
90049,16514,346,121671,7709
90056,3480,221,84438,20006
90057,16914,299,31337,1002
90058,795,120,16425,5205
90059,10590,361,37653,3381
90061,7307,259,37126,3594
90062,9719,302,40018,3211
90063,13591,246,44121,1811
90064,10999,290,92194,6054
90065,15167,310,58405,2572
90066,24951,361,75209,2833
90067,1342,145,123889,44076
90068,11703,375,82718,6396
90069,12379,460,86403,6132
90071,0,12,-,**
90073,0,12,-,**
90077,3370,228,184722,30227
90079,0,12,-,**
90089,7,7,-,**
90090,0,12,-,**
90094,3874,235,136250,18125
90095,0,12,-,**
90201,24088,393,39498,1232
90210,7983,342,149732,14739
90211,3755,221,71402,10343
90212,5921,290,103032,16900
90220,13270,314,54014,2577
90221,12122,287,46008,2458
90222,7820,274,40719,5244
90230,13088,339,79242,4211
90232,6458,262,82254,6959
90240,7224,230,81205,4879
90241,13371,372,64222,4287
90242,12101,280,62402,2660
90245,6638,232,92942,6794
90247,15870,365,46076,2884
90248,3642,164,58703,6334
90249,8639,275,53964,4091
90250,32242,599,49417,1527
90254,9158,281,124849,8956
90255,18387,377,40325,1572
90260,10635,396,58792,5051
90262,15327,402,45897,1435
90263,0,12,-,**
90265,7248,289,137672,12109
90266,13529,298,148899,11825
90270,6609,228,37553,3087
90272,9094,209,180962,17571
90274,9175,211,158497,8969
90275,15838,355,124384,6307
