FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
1,1,Aleutians East,Alaska,02,013,02013,3129,0.4,3141,0.4,660,219,876,1130,19,385,84,153,2093,1048,123,105,88,104,249,514,597,771,435,108,40,7,42,42,42.2,553,2.56,109,38,120,115,39,53,363,3.04,747,194,285,268,-99,-99,-99,-99,7036.89,24.2666463801,2.23558237077,48862299112.4453,3299974.83898805,6b0d7935-2033-4671-b447-2328bd217d3b
2,1201,Traill,North Dakota,38,097,38097,8154,9.5,8121,9.4,7809,42,64,21,1,214,89,95,4067,4054,510,465,504,604,528,786,910,1237,1056,662,539,320,42.4,40.7,44.1,3394,2.29,515,547,726,1112,62,136,2150,2.88,3780,386,2443,951,468,1170,526183,659887,862.51,2.15044886694,0.266362350285,4881825510.71875,283774.46460704,6d3199a6-fe70-4984-aceb-a7eceb1879a6
3,1202,Walsh,North Dakota,38,099,38099,11037,8.5,11119,8.6,10391,25,168,36,4,969,345,150,5608,5511,681,620,731,674,486,1099,1147,1840,1604,1064,763,410,45.7,44.3,46.9,4746,2.27,749,807,868,1620,120,228,3021,2.88,5498,752,3588,1158,962,834,714525,440783,1294.14,3.37990599646,0.411900337293,7683728314.69141,411795.184705606,38365f59-6424-4cc8-876b-37efa76014c2
4,2,Aleutians West,Alaska,02,016,02016,5609,1.6,5561,1.5,2004,332,857,1606,103,726,348,311,3723,1838,205,227,226,249,334,972,1137,1232,786,157,31,5,40.7,41,39.9,1212,2.49,288,105,288,220,59,86,711,3.18,1929,717,391,821,-99,-99,-99,-99,3597.77,18.731620603,0.889388544167,18314912687.2422,2455084.55802795,c1fd869c-8650-4d17-a7cb-daf73b0aa128
5,1203,Ward,North Dakota,38,101,38101,75147,36.6,61675,30,55718,1542,1630,583,84,1869,428,1690,31250,30425,4794,3907,3622,4245,6458,9486,6880,7883,6374,3891,2754,1381,32.9,31.3,34.7,25029,2.36,3659,3859,5457,7022,606,1500,15597,2.95,26744,1715,15920,9109,961,1117,829363,285596,2055.85,4.40857096756,0.640877440775,11921048654.2578,596478.705923619,8e55210b-0dad-4479-afb6-5367bd3170a0
6,3,Anchorage,Alaska,02,020,02020,303152,174.9,291826,168.4,192498,16226,23130,23580,5901,22061,6846,23645,148209,143617,21961,20618,20443,21187,24379,45440,39062,44569,33028,13309,5868,1962,33,32.4,33.7,107332,2.64,14034,12727,25454,26538,3866,8955,70544,3.19,113032,5700,64285,43047,291,125,17148,103158,1733.41,4.16679173319,0.76757755672,19718437876.6875,604125.126379572,3fdd1207-25eb-494e-8b12-1d09dbdc215a
7,1204,Wells,North Dakota,38,103,38103,4218,3.3,4207,3.3,4160,3,13,4,1,21,2,24,2065,2142,207,203,204,208,127,319,390,719,609,540,445,236,51.4,50.4,52.5,1943,2.1,301,365,287,765,33,59,1223,2.67,2481,538,1532,411,543,1359,622310,500841,1290.51,2.66480941614,0.403544037135,7415106819.67969,353015.19323445,71fff712-0f6d-4bc0-8c53-2b859a57e571
8,4,Bethel,Alaska,02,050,02050,17646,0.4,17013,0.4,1894,65,14109,160,27,181,45,713,8898,8115,1796,1762,1669,1618,1349,2257,1858,2210,1453,664,308,69,26.3,26.8,25.7,4651,3.59,609,330,1496,616,358,628,3436,4.22,5919,1268,2702,1949,-99,-99,-99,-99,41706.31,50.3468544813,18.0938799461,461653603036.969,6883974.65453435,5003fa78-b80d-427a-b2de-8a49f79315db
9,1205,Williams,North Dakota,38,105,38105,40962,19.1,22398,10.4,20639,63,899,79,5,436,69,644,11548,10850,1546,1329,1405,1435,1429,3136,2403,3499,2888,1582,1140,606,38.9,37.3,40.7,9293,2.35,1583,1340,1856,2771,257,485,5746,2.95,10464,1171,6442,2851,758,1403,739086,235756,2148.32,3.89612706352,0.682762105823,12731302206.6914,519301.933916183,e624d668-86f5-454e-8ce8-ff7ea48c4709
10,1206,Baker,Oregon,41,001,41001,16332,5.3,16134,5.2,15264,57,181,78,9,528,164,381,8140,7994,852,848,910,979,685,1529,1668,2418,2703,2007,1094,441,47.7,46.4,48.9,7040,2.24,1039,1160,1099,2473,188,395,4430,2.78,8826,1786,4810,2230,645,1102,107531,144582,3088.35,5.52620072754,0.903750262931,15756772749.8984,696814.728564421,e00300e4-12cd-4939-bd2d-afa7449179f5
